ID,Post_ID,Date,Comment,Sentiment,Time
1,P1,17/09/2024,"Mưa to quá, không biết tình hình các quận ngoại thành thế nào rồi?",Neutral,10:20
2,P2,17/09/2024,"Cầu mong mọi người đều an toàn. Hà Nội cố lên!",Positive,11:05
3,P3,17/09/2024,"Chính quyền cần có biện pháp hỗ trợ kịp thời cho người dân vùng bị ngập úng.",Neutral,13:45
4,P1,18/09/2024,"Cảm ơn các anh bộ đội đã vất vả cứu hộ!",Positive,08:30
5,P2,18/09/2024,"Nước dâng cao quá, nhà tôi sắp bị ngập đến nơi rồi! Lo lắng quá!",Negative,09:15
6,P3,18/09/2024,"Đề nghị các cơ quan chức năng công bố thông tin về tình hình lũ lụt rõ ràng hơn.",Neutral,10:00
7,P1,18/09/2024,"Mong các lực lượng cứu hộ giữ gìn sức khỏe!",Positive,12:30
8,P2,19/09/2024,"Liệu ngày mai có mưa nữa không ạ?",Neutral,07:50
9,P3,19/09/2024,"Cần khẩn trương sơ tán người dân ở khu vực nguy hiểm.",Neutral,08:45
10,P1,19/09/2024,"Thật xúc động khi thấy tinh thần tương thân tương ái của người dân Hà Nội!",Positive,11:20
11,P2,19/09/2024,"Dự báo thời tiết nói nước sẽ rút dần vào chiều nay, hy vọng là đúng.",Neutral,14:10
12,P3,20/09/2024,"Chính phủ đã có kế hoạch hỗ trợ gì cho các hộ dân bị thiệt hại chưa ạ?",Neutral,09:35
13,P1,20/09/2024,"Ai có thuyền ở khu vực Chương Mỹ cho mình mượn với, mình cần sơ tán gấp!",Negative,10:50
14,P2,20/09/2024,"Mưa đã ngớt rồi, nhưng nước vẫn chưa rút hết.",Neutral,13:15
15,P3,20/09/2024,"Công tác khắc phục hậu quả sau lũ cần được triển khai nhanh chóng.",Neutral,15:40
16,P1,20/09/2024,"Mọi người ơi, ai biết địa chỉ nhận quyên góp đồ cứu trợ không?",Neutral,17:25
17,P2,21/09/2024,"Thời tiết Hà Nội hôm nay thế nào rồi ạ?",Neutral,08:00
18,P3,21/09/2024,"Các khu vực bị ngập đã được xử lý như thế nào rồi?",Neutral,09:45
19,P1,21/09/2024,"Cảm ơn tất cả mọi người đã chung tay giúp đỡ người dân Hà Nội vượt qua khó khăn!",Positive,12:10
20,P2,21/09/2024,"Mong rằng sẽ không có trận mưa lớn nào nữa trong thời gian tới.",Neutral,14:30
