ERROR:root:Unexpected error: [Errno 2] No such file or directory: './data/messages_Theanh28.csv'
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
WARNING:facebook_scraper.page_iterators:No raw posts (<article> elements) were found in this page.
